route,hv,dt,pf,dv
429,1.967777011,1.854374741,0,10.55366601
430,0.005639266,0.995112174,0,9.060149245
434,0,0,0,0
435,5.55556E-09,0.224759051,0,2.516926918
436,0.227077351,0.49565744,0,3.138892334
439,0,0.031209877,0,0.612427401
441,3.05556E-09,0.96445912,0,9.874596227
442,0.003107617,1.252148198,0,10.26725012
448,2.77778E-10,0.625655796,0,0.274534568
449,2.77778E-10,1.207667387,0,1.705046605
450,0,0,0,0.781329184
451,0,0,0,0
455,0.957787202,9.933157228,0,23.50323002
456,0,0.181201165,0,1.061442593
459,2.5E-09,2.308515531,0,3.303248904
465,5.55556E-10,0.157122428,0,0.462711865
501,16.31280267,3.763229101,0,12.69469172
502,2.846550575,0.238900617,0,4.178519144
503,0.492506996,0.239594307,0,2.919233642
504,11.28019847,1.311571084,0,16.0541454
505,0.378406885,0.044335494,0,4.484527032
553,0,0,0,0
554,0,0,0,0
556,0,0,0,0
558,0,0,0,0
701,0.696871845,0.771739529,2.691000103,10.43367776
708,0.561582285,0.051115809,0,1.295112743
747,0,0,4.031521022,14.49887874
749,17.16365055,2.014310579,0,19.31205012
751,11.25682879,1.98262575,0,7.932207707
2427,0,0,0,0
4050,2.77778E-10,0,0,0.142169136
8993,0,0,0,0
9701,0,0,0,0
9702,0,0,0,0
9703,0,0,0,0
116117,2.274987953,2.496564814,0,0.718371719
214216,0,0,0,0.021390295
441442,0.272808678,0.01803467,0,0.965105898
34E,3.155240164,1.766747429,9.489123729,47.70018693
57A,17.79105563,6.548064846,0,50.97316375
70A,2.77778E-10,0.208980247,0,9.327422805
