halfhour,66,7,9,1,57A,86,93,57,65,111,88,87,47,77,39,80,11,64,116,117,89,85,101,62,109,70,32,22,23,28,104,31,21,34,15,94,108,50,16,45,110,36,38,40,51
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.5,0,0,0,0,0,0,0,0,0,0.105615398,0,0,0,0,0,0,0,0,0,12.20579859,0,0,0,0,0,0,0,0,0,1.154778052,0,0.002037483,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,14.86402898,0,0,0,0,0,0,0,0,0,5.773408333,0.003242318,0,0.081626063,0,6.854677538,0,4.719977915,0.625131619,1.426255864,0.235839472,1.427040295,4.123679938,0,0.052799589,0,0,0.07984904,0,1.955186626,0.04271238,0.007463958,0,0,0,0
5.5,0,0,0,0,0,0,0,0,0,17.15425243,0,0,0,0,0.007123148,0,0,0,4.238157545,0.499089609,0,0,0,0,1.495809705,1.430893553,0.907141495,0.052431996,0.723277744,0.095255041,3.815729595,0.69758882,0.070862654,0.02881238,0,0,0.012780453,0,0.104942558,0,0.755576475,0.017702606,0,0.02719928,0
6,4.903944067,0,0,0,0,0,0.116412551,0.082348079,0.167231447,26.55519787,0,0,0.341502366,0.010247428,1.413818861,0,0,0,3.363681756,5.774641324,0,0,0.035451543,0,8.292354218,0.193060597,5.036847154,3.076943416,13.59505278,7.409668519,3.182734259,2.961879287,4.009495713,5.711298251,3.120031824,0,1.523115055,1.208783162,2.156802401,1.450316392,2.412142044,0.111965295,0.389729561,2.741173354,0
6.5,3.380841255,0.058653395,1.621810597,0.263234328,0.640996365,0.658925514,2.095079458,1.792666975,1.302725343,40.46645535,0,0,0.706017113,0.273439506,6.075905281,0.024990741,0.560646742,0,7.796282888,8.909191152,0,0,0.471262997,0.435322668,2.832973868,1.121568279,18.70955566,7.577141358,29.76790233,21.56856893,2.905971091,6.17261142,13.09825929,14.94761646,9.395953944,0,0.105863478,3.050369273,8.956833573,3.926808265,10.41157637,6.541257956,2.401389883,0.844849897,0
7,11.1340644,1.103617696,8.613246605,1.085841975,2.66026334,2.46054369,5.713243313,10.32989012,4.137289678,43.82628656,4.304403944,1.877491495,2.190870713,12.25550463,7.768147599,4.360761454,1.687577675,0.524747016,17.30246221,10.89061403,2.719346125,0.051194444,2.378063546,2.531083093,11.43619698,3.426255899,21.05882551,12.09000147,19.52908179,11.36836516,4.361757099,7.166750274,10.05568086,7.27183275,4.738570816,0.867982853,3.998658505,2.426394136,9.165460905,3.744787346,7.258545919,3.162958402,1.608458779,2.921261728,0.052493519
